Barcode,Nama Item,Subkategori,Harga,price2,pcs2,price3,pcs3,Link,Thumbnail
8997007640853,KITA BISC ASSORTED TIN 350G,Cemilan & Biskuit,35500,106200,3,211200,6,https://aimbiscuits.com/wp-content/uploads/2018/08/Bogabis-Assorted-Tin-350g.png,
8997007646848,KITA MARIE SUSU JAR 300G,Cemilan & Biskuit,24700,73800,3,147000,6,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/9/6/a36a4561-7e5b-47ca-bf18-ce7181e5916e.jpg,
8997007646893,KITA WFR COK VAN JAR 280G,Cemilan & Biskuit,24900,74400,3,148200,6,https://sukamurah.com/wp-content/uploads/2020/07/SELAMAT-CHOCOLATE-198GR-01.jpg,
8998389683278,KOKOLA FAMILY ASSTD 400G,Cemilan & Biskuit,46300,138600,3,276000,6,"https://cdn.ralali.id/cdn-cgi/image/f=auto,w=250/assets/img/Libraries/314488_KOKOLA-Family-Assorted-400-gr_gVJuAQOLA1x1ZG4c_1581680008.png",
8998389185017,KOKOLA HAPPY ASSTD 700G,Cemilan & Biskuit,72300,216600,3,432000,6,https://down-id.img.susercontent.com/file/id-11134201-7qul7-lhe9qfm3ricr21,
8998389621140,KOKOLA KUKIS BUTTER JAR 320G,Cemilan & Biskuit,29900,178800,6,178800,6,https://assets.klikindomaret.com/share/20112570_1.jpg,
8998389621157,KOKOLA KUKIS COCONUT 320G,Cemilan & Biskuit,29900,178800,6,178800,6,https://bma.jadibaru.online/storage/asset/images/880267_6607ebccb9627.webp,
8998389621164,KOKOLA KUKIS COKLAT 320G 6,Cemilan & Biskuit,29900,178800,6,178800,6,https://solvent-production.s3.amazonaws.com/media/images/products/2022/04/DSC_0294.JPG,
8998389625117,KOKOLA KUKIS MAMAH 320G,Cemilan & Biskuit,29900,178800,6,178800,6,https://images.tokopedia.net/img/cache/700/VqbcmM/2023/4/13/7fe43bc0-5658-4100-9bb5-49a53a2617b4.jpg,
8998389621171,KOKOLA KUKIS MILK 320G,Cemilan & Biskuit,29900,178800,6,178800,6,https://img.lazcdn.com/g/p/ab8d5f7c8fa09c82b804042912c3ef7a.jpg_720x720q80.jpg,
4712277822723,KUGI WFR ROLL COKLAT 120G,Cemilan & Biskuit,5700,67200,12,132000,24,https://down-id.img.susercontent.com/file/eb3b93497ca11344a20a5eba6d2682d9,
4712277822280,KUGI WFR ROLL COKLAT 320G,Cemilan & Biskuit,16200,96600,6,192000,12,https://jumbo.co.id/wp-content/uploads/2020/05/eee0de1a-7112-4cfd-9ef0-5f4d4289eb06.jpg,
8993083930208,KUGI WFR ROLL STRAW 120G,Cemilan & Biskuit,5700,67200,12,132000,24,https://laz-img-sg.alicdn.com/p/7ad69290eac65f0e6d485dd31e683a38.jpg,
4712277822730,KUGI WFR ROLL VANILLA 120G,Cemilan & Biskuit,5700,67200,12,132000,24,https://images.tokopedia.net/img/cache/700/product-1/2019/12/7/20186927/20186927_19a18c54-e513-4033-9ab5-a7ddb9c6c2e0_1000_1000,
4712277822297,KUGI WFR ROLL VANILLA 320G,Cemilan & Biskuit,16200,96600,6,192000,12,https://jumbo.co.id/wp-content/uploads/2020/05/12.png,
8997223771324,MARINDO ASSORTED 550G,Cemilan & Biskuit,40900,122400,3,243600,6,https://down-id.img.susercontent.com/file/6b90012385b369c271950cbc8bfd7a1b,
8997223770617,MARINDO ASSORTED BISC 400G,Cemilan & Biskuit,26500,79200,3,157200,6,https://down-id.img.susercontent.com/file/id-11134207-7r98o-lpaxpfd6hvjraa,
